Journal ID;Print ISSN;Online ISSN;Original Title;International Title;Country of Publication;ERIH PLUS Disciplines;OECD Classifications;[Last Updated]
"475401";"";"2013-3294";"452ºF. Revista de Teoría de la Literatura y Literatura Comparada";"452ºF. Revista de Teoría de la Literatura y Literatura Comparada";"Spain";"Interdisciplinary research in the Humanities, Literature";"Languages and Literature; Other Humanities";"2023-02-02 17:14:12"
"471985";"";"1548-7083";"A Contracorriente: una revista de estudios latinoamericanos";"A ContracorrienteA Contracorriente: una revista de estudios latinoamericanos";"United States";"Gender Studies, History, Cultural Studies, Media Studies and Communication, Film and Theatre Studies, Sociology, Literature, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences";"Arts (Arts, History of Arts, Performing Arts, Music); History and Archaeology; Languages and Literature; Media and Communications; Other Humanities; Other Social Sciences; Sociology";"2023-02-02 17:14:12"
"483919";"";"2239-3978";"Studi irlandesi. A Journal of Irish Studies";"A Journal of Irish Studies";"Italy";"Cultural Studies, History, Interdisciplinary research in the Humanities, Linguistics, Literature";"History and Archaeology; Languages and Literature; Other Humanities";"2016-10-17 16:29:41"
"499796";"";"2239-964X";"Rivista Quadrimestrale di Diritto dell'Ambiente";"A Peer-reviewed, Interdisciplinary, Open Access Journal of Environmental Law";"Italy";"Law";"Law";"2020-11-21 15:26:03"
"489278";"1516-3210";"1984-4182";"A&C - Revista de Direito Administrativo & Constitucional";"A&C - Administrative & Constitutional Law Review";"Brazil";"Law";"Law";"2017-09-22 12:39:22"
"499441";"2362-6089";"2362-6097";"A&P Continuidad";"A&P Continuidad";"Argentina";"Art and Art History, Human Geography and Urban Studies, Interdisciplinary research in the Social Sciences";"Arts (Arts, History of Arts, Performing Arts, Music); Other Social Sciences; Social and Economic Geography";"2020-09-15 09:48:04"
"451126";"0898-9575";"2151-7290";"a/b: Auto/Biography Studies";"a/b: Auto/Biography Studies";"United States";"Literature, Interdisciplinary research in the Humanities";"Languages and Literature; Other Humanities";"2023-02-02 17:14:12"
"469053";"2166-4072";"2164-9731";"Ab Imperio: Theory and History of Nationalities and Nationalism in the post-Soviet Realm";"Ab Imperio: Theory and History of Nationalities and Nationalism in the post-Soviet Realm";"Russia";"History";"History and Archaeology";"2023-02-02 17:14:12"
"487667";"";"2275-6639";"ABE – Architecture Beyond Europe";"ABE – Architecture Beyond Europe";"France";"Art and Art History, Human Geography and Urban Studies";"Arts (Arts, History of Arts, Performing Arts, Music); Social and Economic Geography";"2017-03-25 11:15:36"
"501741";"2238-3026";"";"Abehache";"Abehache";"Brazil";"Anthropology, Art and Art History, Gender Studies, History, Cultural Studies, Media Studies and Communication, Film and Theatre Studies, Linguistics, Literature, Pedagogical & Educational Research, Philosophy, Interdisciplinary research in the Humanities";"Arts (Arts, History of Arts, Performing Arts, Music); Educational Sciences; History and Archaeology; Languages and Literature; Media and Communications; Other Humanities; Philosophy, Ethics and Religion; Sociology";"2021-05-25 14:51:35"
"492748";"2295-0710";"2295-0729";"Sur Le Journalisme";"About Journalism";"Belgium";"Media Studies and Communication";"Media and Communications";"2023-02-02 17:14:12"
"481853";"0103-6963";"";"ABRALIC Associão Brasileira de Literatura Comparada";"ABRALIC";"Brazil";"Literature";"Languages and Literature";"2023-02-02 17:14:12"
"488952";"";"1984-2090";"Abril: Revista do NEPA UFF";"Abril: Journal of NEPA UFF";"Brazil";"Literature";"Languages and Literature";"2016-06-29 14:52:34"
"486043";"2014-8526";"2014-8534";"Abriu: estudos de textualidade do Brasil, Galicia e Portugal";"Abriu: Textuality Studies on Brazil, Galicia and Portugal";"Spain";"Cultural Studies, Interdisciplinary research in the Humanities, Literature";"Languages and Literature; Other Humanities";"2015-06-19 08:18:19"
"500467";"";"2704-8837";"ABside. Rivista di Storia dell'Arte";"ABside. Rivista di Storia dell'Arte";"Italy";"Art and Art History";"Arts (Arts, History of Arts, Performing Arts, Music)";"2021-04-14 09:15:19"
"503378";"";"2241-1402";"Academia";"Academia";"Greece";"Sociology, Pedagogical & Educational Research, Interdisciplinary research in the Humanities";"Educational Sciences; Other Humanities; Sociology";"2022-03-31 10:27:17"
"502104";"";"2011-0731";"Academia y Virtualidad";"Academia y Virtualidad";"Colombia";"Law, Pedagogical & Educational Research, Interdisciplinary research in the Social Sciences";"Educational Sciences; Law; Other Social Sciences";"2021-08-23 14:22:37"
"503733";"";"2422-7153";"Academia. Revista sobre Enseñanza del Derecho";"Academia. Revista sobre Enseñanza del Derecho";"Argentina";"Law, Pedagogical & Educational Research";"Educational Sciences; Law";"2022-06-10 11:11:46"
"482391";"0567-560X";"";"Academia: Boletín de la Real Academia de Bellas Artes de San Fernando";"Academia: Boletín de la Real Academia de Bellas Artes de San Fernando";"Spain";"Art and Art History";"Arts (Arts, History of Arts, Performing Arts, Music)";"2017-07-04 11:09:12"
"498393";"2299-7164";"2353-3218";"Academic Journal of Modern Philology";"Academic Journal of Modern Philology";"Poland";"Cultural Studies, Media Studies and Communication, Linguistics, Interdisciplinary research in the Humanities";"Languages and Literature; Media and Communications; Other Humanities";"2022-08-16 12:09:57"
"490524";"1855-3303";"2335-4194";"Academica Turistica - Tourism and Innovation Journal";"Academica Turistica - Tourism and Innovation Journal";"Slovenia";"Business and Management, Economics, Sociology, Interdisciplinary research in the Social Sciences";"Economics and Business; Other Social Sciences; Sociology";"2023-02-02 17:14:12"
"484864";"2079-3715";"2309-1088";"Academicus International Scientific Journal (Academicus ISJ)";"Academicus International Scientific Journal (Academicus ISJ)";"Albania";"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences";"Other Humanities; Other Social Sciences";"2023-02-02 17:14:12"
"502233";"";"2414-8938";"ACADEMO Revista de Investigación en Ciencias Sociales y Humanidades";"ACADEMO Revista de Investigación en Ciencias Sociales y Humanidades";"Paraguay";"Gender Studies, History, History & Philosophy of Science, Cultural Studies, Library and Information Science, Media Studies and Communication, Business and Management, Economics, Political Sciences and International Relations, Science and Technology Studies, Sociology, Social Statistics and Informatics, Environmental Studies, Human Geography and Urban Studies, Linguistics, Literature, Pedagogical & Educational Research, Philosophy, Psychology, Religious Studies and Theology, Interdisciplinary research in the Humanities";"Economics and Business; Educational Sciences; History and Archaeology; Languages and Literature; Media and Communications; Other Humanities; Other Social Sciences; Philosophy, Ethics and Religion; Political Science; Psychology; Social and Economic Geography; Sociology";"2022-03-15 07:50:42"
"494241";"";"2602-3342";"Academy Journal of Educational Sciences";"Academy Journal of Educational Sciences";"Turkey";"Pedagogical & Educational Research";"Educational Sciences";"2020-05-07 12:46:42"
"437111";"0001-4273";"1948-0989";"Academy of Management Journal";"Academy of Management Journal";"United States";"Psychology";"Psychology";"2023-02-02 14:41:55"
"436166";"1537-260X";"1944-9585";"Academy of Management Learning & Education";"Academy of Management Learning & Education";"United States";"Business and Management, Pedagogical & Educational Research";"Economics and Business; Educational Sciences";"2023-02-02 14:41:55"
"478703";"1558-9080";"1943-4529";"Academy of Management Perspectives";"Academy of Management Perspectives";"United States";"Business and Management";"Economics and Business";"2023-02-02 17:14:12"
"437112";"0363-7425";"1930-3807";"Academy of Management Review";"Academy of Management Review";"United States";"Psychology";"Psychology";"2023-02-02 14:41:55"
"488044";"1803-9782";"2571-0613";"ACC Journal";"ACC Journal";"Czechia";"Business and Management, Economics, Human Geography and Urban Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Linguistics, Pedagogical & Educational Research, Science and Technology Studies";"Economics and Business; Educational Sciences; Languages and Literature; Other Humanities; Other Social Sciences; Social and Economic Geography";"2023-02-02 17:14:12"
"490036";"";"2466-3913";"Accelerando: Belgrade Journal of Music and Dance";"Accelerando: Belgrade Journal of Music and Dance";"Serbia";"Art and Art History, Sociology, Musicology, Pedagogical & Educational Research, Philosophy, Psychology, Interdisciplinary research in the Humanities";"Arts (Arts, History of Arts, Performing Arts, Music); Educational Sciences; Other Humanities; Philosophy, Ethics and Religion; Psychology; Sociology";"2017-03-30 19:18:31"
"471990";"1536-1772";"2690-0270";"Acceso. Revista Puertorriqueña de Bibliotecología y Documentación";"Acceso. Revista Puertorriqueña de Bibliotecología y Documentación";"Puerto Rico";"Library and Information Science";"Media and Communications";"2023-02-02 17:14:12"
"504050";"2530-447X";"2530-4488";"ACCESOS. Revista de investigación artística";"ACCESOS. Journal for Artistic Research";"Spain";"Art and Art History, Cultural Studies, Media Studies and Communication, Science and Technology Studies, Interdisciplinary research in the Humanities";"Arts (Arts, History of Arts, Performing Arts, Music); Languages and Literature; Media and Communications; Other Humanities; Other Social Sciences";"2023-01-10 14:18:07"
"503890";"";"2683-1007";"ACCESS: ACCESS TO SCIENCE, BUSINESS, INNOVATION IN THE DIGITAL ECONOMY";"ACCESS: ACCESS TO SCIENCE, BUSINESS, INNOVATION IN THE DIGITAL ECONOMY";"Bulgaria";"Business and Management, Economics, Science and Technology Studies, Social Statistics and Informatics";"Economics and Business; Media and Communications; Other Social Sciences";"2022-08-22 09:57:12"
"489720";"";"1989-2837";"Acción Motriz";"Acción Motriz";"Spain";"Interdisciplinary research in the Social Sciences";"Other Social Sciences";"2016-11-10 17:26:45"
"490537";"1578-908X";"2255-1271";"Acción Psicológica";"Accion Psicologica";"Spain";"Psychology";"Psychology";"2017-03-17 10:13:31"
"449208";"0001-4788";"2159-4260";"Accounting and Business Research";"Accounting and Business Research";"United Kingdom";"Business and Management";"Economics and Business";"2023-02-02 17:14:12"
"488342";"1721-5242";"2283-7337";"Contabilità e cultura aziendale";"Accounting and cultures";"Italy";"Economics";"Economics and Business";"2016-03-21 17:43:05"
"497918";"2307-9878";"2518-1181";"Облік і фінанси";"Accounting and Finance";"Ukraine";"Business and Management, Economics";"Economics and Business";"2020-05-07 12:47:28"
"492757";"2543-5485";"2544-1450";"Accounting and Financial Control";"Accounting and Financial Control";"Ukraine";"Business and Management, Economics";"Economics and Business";"2023-02-02 17:14:12"
"437122";"0155-9982";"1467-6303";"Accounting Forum";"Accounting Forum";"Netherlands";"Business and Management, Economics";"Economics and Business";"2023-02-02 17:14:12"
"488330";"2155-2851";"2155-286X";"Accounting History Review";"Accounting History Review";"United Kingdom";"Business and Management";"Economics and Business";"2016-03-21 14:32:48"
"498987";"0951-3574";"";"Accounting, Auditing and Accountability Journal";"Accounting, Auditing and Accountability Journal";"United Kingdom";"Business and Management, Economics";"Economics and Business";"2020-06-25 13:13:35"
"485061";"2194-6051";"2152-2820";"Accounting, Economics, and Law – A Convivium";"Accounting, Economics, and Law – A Convivium";"United States";"Economics, Law";"Economics and Business; Law";"2023-02-02 17:14:12"
"437124";"0361-3682";"1873-6289";"Accounting, Organizations and Society";"Accounting, Organizations and Society";"Netherlands";"Business and Management, Economics";"Economics and Business";"2023-02-02 14:41:55"
"490153";"";"1984-3925";"Contabilidade, Gestão e Governança";"Accouting, Management and Governance";"Brazil";"Business and Management, Interdisciplinary research in the Social Sciences";"Economics and Business; Other Social Sciences";"2022-08-29 10:26:13"
"494055";"1130-7269";"2444-3948";"Acotaciones. Revista de Creación e Investigación Teatral";"Acotaciones. Revista de Creación e Investigación Teatral";"Spain";"Film and Theatre Studies, Literature";"Arts (Arts, History of Arts, Performing Arts, Music); Languages and Literature";"2020-02-03 10:33:35"
"502415";"";"2602-1463";"ACROSS - A Comprehensive Review of Societal Studies";"ACROSS - A Comprehensive Review of Societal Studies";"Romania";"History, Cultural Studies, Media Studies and Communication, Linguistics, Literature, Interdisciplinary research in the Social Sciences";"History and Archaeology; Languages and Literature; Media and Communications; Other Social Sciences";"2021-11-11 13:43:47"
"471871";"1585-1923";"1588-2519";"Across Languages and Cultures";"Across Languages and Cultures";"Hungary";"Linguistics";"Languages and Literature";"2023-02-02 17:14:12"
"484044";"1212-415X";"2533-7610";"Acta academica karviniensia";"Acta academica karviniensia";"Czechia";"Business and Management, Economics";"Economics and Business";"2023-02-02 17:14:12"
"437156";"1610-1928";"1861-9959";"Acta Acustica united with Acustica";"Acta Acustica united with Acustica";"Germany";"Musicology";"Arts (Arts, History of Arts, Performing Arts, Music)";"2020-09-04 08:47:57"
"437157";"0065-0900";"2611-3686";"Acta ad archaeologiam et artium historiam pertinentia (ACTA)";"Acta ad archaeologiam et artium historiam pertinentia (ACTA)";"Italy, Norway";"Archaeology, Art and Art History, Cultural Studies, History";"Arts (Arts, History of Arts, Performing Arts, Music); History and Archaeology; Languages and Literature";"2023-02-02 17:14:12"
"471310";"0353-5150";"1874-6349";"Acta Analytica";"Acta Analytica";"Netherlands";"Philosophy";"Philosophy, Ethics and Religion";"2023-02-02 17:14:12"
"437163";"0044-5975";"1588-2543";"Acta Antiqua Academiae Scientiarum Hungaricae";"Acta Antiqua Academiae Scientiarum Hungaricae";"Hungary";"Classical Studies";"Languages and Literature";"2023-02-02 17:14:12"
"341321";"0065-101X";"1600-0390";"Acta Archaeologica";"Acta Archaeologica";"United Kingdom";"Archaeology";"History and Archaeology";"2023-02-20 12:18:38"
"483293";"0001-5210";"1588-2551";"Acta Archaeologica Academiae Scientiarum Hungaricae";"Acta Archaeologica Academiae Scientiarum Hungaricae";"Hungary";"Archaeology";"History and Archaeology";"2016-03-01 18:11:24"
"481502";"0001-5229";"";"Acta Archaeologica Carpathica";"Acta Archaeologica Carpathica";"Poland";"Archaeology";"History and Archaeology";"2016-03-01 18:21:10"
"485713";"0065-0986";"";"Acta Archaeologica Lodziensia";"Acta Archaeologica Lodziensia";"Portugal";"Archaeology";"History and Archaeology";"2015-06-02 13:34:49"
"484000";"0860-6102";"2449-8653";"Acta Asiatica Varsoviensia";"Acta Asiatica Varsoviensia";"Poland";"History, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences";"History and Archaeology; Other Humanities; Other Social Sciences";"2023-02-02 17:14:12"
"484808";"2228-2009";"2228-2017";"Acta Baltica Historiae et Philosophiae Scientiarum";"Acta Baltica Historiae et Philosophiae Scientiarum";"Estonia";"History & Philosophy of Science, Science and Technology Studies";"Other Humanities; Other Social Sciences";"2015-01-29 13:00:14"
"481738";"0065-1044";"2392-2389";"Acta Baltico-Slavica";"Acta Baltico-Slavica";"Poland";"Anthropology, Archaeology, History, Linguistics";"History and Archaeology; Languages and Literature; Sociology";"2016-09-26 13:08:21"
"340751";"0800-3831";"1503-111X";"Acta Borealia";"Acta Borealia";"Norway";"Archaeology, Anthropology";"History and Archaeology; Sociology";"2023-02-02 17:14:12"
"437185";"0065-1141";"2227-538X";"Acta Classica";"Acta Classica";"South Africa";"Classical Studies";"Languages and Literature";"2023-02-02 17:14:12"
"472007";"0123-9155";"1909-9711";"Acta Colombiana de Psicología";"Acta Colombiana de Psicología";"Colombia";"Psychology";"Psychology";"2023-02-02 17:14:12"
"482052";"0231-5955";"";"Acta Comeniana: International Review of Comenius Studies and Early Modern Intellectual History";"Acta Comeniana: International Review of Comenius Studies and Early Modern Intellectual History";"Czechia";"History";"History and Archaeology";"2015-10-28 13:03:50"
"486272";"";"2065-1430";"Acta Didactica Napocensia";"Acta Didactica Napocensia";"Romania";"Pedagogical & Educational Research";"Educational Sciences";"2023-02-02 17:14:12"
"498211";"";"2535-8219";"Acta Didactica Norden (ADNO)";"Acta Didactica Norden (ADNO)";"Norway";"Pedagogical & Educational Research";"Educational Sciences";"2023-02-02 17:14:12"
"471082";"";"1504-9922";"Acta Didactica Norge";"Acta Didactica Norge";"Norway";"Pedagogical & Educational Research";"Educational Sciences";"2020-04-15 14:50:25"
"497117";"1512-858X";"2232-738X";"Acta Economica";"Acta Economica";"Bosnia and Herzegovina";"Economics";"Economics and Business";"2019-08-01 09:43:26"
"503571";"1849-8469";"1849-921X";"Acta Economica Et Turistica";"Acta Economica Et Turistica";"Hungary";"Business and Management, Economics, Political Sciences and International Relations, Sociology, Environmental Studies, Human Geography and Urban Studies, Interdisciplinary research in the Social Sciences";"Economics and Business; Other Social Sciences; Political Science; Social and Economic Geography; Sociology";"2022-04-27 10:51:42"
"487231";"1338-3965";"1339-4363";"Acta Educationis Generalis";"Acta Educationis Generalis";"Slovakia";"Pedagogical & Educational Research";"Educational Sciences";"2022-09-01 07:21:06"
"437195";"1216-9803";"1588-2586";"Acta Ethnographica Hungarica";"Acta Ethnographica Hungarica";"Hungary";"Anthropology, Musicology";"Arts (Arts, History of Arts, Performing Arts, Music); Sociology";"2023-02-02 17:14:12"
"485466";"1803-408X";"";"ACTA FACULTATIS PHILOSOPHICAE UNIVERSITATIS OSTRAVIENSIS Studia Germanistica";"ACTA FACULTATIS PHILOSOPHICAE UNIVERSITATIS OSTRAVIENSIS Studia Germanistica";"Czechia";"Linguistics, Literature";"Languages and Literature";"2015-04-28 11:03:35"
"489556";"1802-0364";"2336-6346";"Acta Fakulty filozofické Západočeské univerzity v Plzni";"Acta Fakulty filozofické Západočeské univerzity v Plzni";"Czechia";"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences";"Other Humanities; Other Social Sciences";"2019-10-03 12:33:14"
"487067";"";"1857-9833";"Acta Geobalcanica";"Acta Geobalcanica";"Macedonia";"Demography, Environmental Studies, Human Geography and Urban Studies";"Other Social Sciences; Social and Economic Geography";"2015-08-20 10:25:10"
"472011";"1581-6613";"1581-8314";"Acta Geographica Slovenica";"Acta Geographica Slovenica";"Slovenia";"Cultural Studies, Demography, Economics, Environmental Studies, History, Human Geography and Urban Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Pedagogical & Educational Research, Political Sciences and International Relations, Social Statistics and Informatics, Sociology";"Economics and Business; Educational Sciences; History and Archaeology; Languages and Literature; Media and Communications; Other Humanities; Other Social Sciences; Political Science; Social and Economic Geography; Sociology";"2023-02-02 17:14:12"
"499298";"1338-6034";"";"Acta Geographica Universitatis Comenianae";"Acta Geographica Universitatis Comenianae";"Slovakia";"Sociology, Social Statistics and Informatics, Environmental Studies, Human Geography and Urban Studies, Interdisciplinary research in the Social Sciences, Anthropology, Demography, Economics, Political Sciences and International Relations";"Economics and Business; Media and Communications; Other Social Sciences; Political Science; Social and Economic Geography; Sociology";"2020-08-22 16:30:41"
"488454";"2336-4912";"2336-4920";"Acta Gymnica";"Acta Gymnica";"Czechia";"Anthropology, Interdisciplinary research in the Social Sciences, Pedagogical & Educational Research, Psychology";"Educational Sciences; Other Social Sciences; Psychology; Sociology";"2016-04-05 12:50:58"
"483142";"1408-0419";"1581-1190";"Acta historiae artis Slovenica";"Acta historiae artis Slovenica";"Slovenia";"Art and Art History";"Arts (Arts, History of Arts, Performing Arts, Music)";"2017-07-04 12:27:36"
"481504";"0001-5830";"1588-2608";"Acta Historiae Artium Academie Scientiarium";"Acta Historiae Artium Academie Scientiarium";"Hungary";"Art and Art History";"Arts (Arts, History of Arts, Performing Arts, Music)";"2016-03-01 18:48:41"
"488811";"0352-7840";"2466-2925";"Acta Historiae Medicinae Stomatologiae Pharmaciae Medicinae Veterinariae";"Acta Historiae Medicinae Stomatologiae Pharmaciae Medicinae Veterinariae";"Serbia";"History, History & Philosophy of Science, Human Geography and Urban Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences";"History and Archaeology; Other Humanities; Other Social Sciences; Social and Economic Geography";"2023-02-08 09:30:13"
"489503";"1336-9148";"2453-7845";"Acta historica Neosoliensia";"Acta historica Neosoliensia";"Slovakia";"Archaeology, History";"History and Archaeology";"2020-06-25 12:06:07"
"488138";"1392-4095";"2351-6526";"Acta Historica Universitatis Klaipedensis";"Acta Historica Universitatis Klaipedensis";"Lithuania";"History";"History and Archaeology";"2023-02-02 17:14:12"
"485531";"1803-411X";"";"Acta Historica Universitatis Silesianae Opaviensis";"Acta Historica Universitatis Silesianae Opaviensis";"Czechia";"History";"History and Archaeology";"2017-04-19 18:21:41"
"483049";"1318-0185";"2591-1767";"Acta Histriae";"Acta Histriae";"Slovenia";"History";"History and Archaeology";"2023-02-02 17:14:12"
"502890";"";"2602-3563";"Acta Infologica";"Acta Infologica";"Turkey";"Social Statistics and Informatics";"Media and Communications";"2022-01-12 14:37:47"
"486973";"";"1805-4951";"Acta Informatica Pragensia";"Acta Informatica Pragensia";"Czechia";"Business and Management, Social Statistics and Informatics";"Economics and Business; Media and Communications";"2015-08-14 13:01:09"
"491591";"";"2300-5599";"Acta Innovations";"Acta Innovations";"Poland";"Economics";"Economics and Business";"2018-01-24 15:37:26"
"488754";"1801-0288";"1805-9554";"Acta Iuridica Olomucensia";"Acta Iuridica Olomucensia";"Czechia";"Law, Political Sciences and International Relations";"Law; Political Science";"2016-05-20 10:53:21"
"497355";"2083-4373";"2545-3181";"Acta Iuris Stetinensis (Roczniki Prawnicze)";"Acta Iuris Stetinensis";"Poland";"Law";"Law";"2019-09-26 19:19:28"
"502432";"";"2603-7173";"Acta Judicial";"Acta Judicial";"Spain";"Law";"Law";"2021-11-15 14:18:02"
"485335";"";"2232-3317";"Acta Linguistica Asiatica";"Acta Linguistica Asiatica";"Slovenia";"Linguistics";"Languages and Literature";"2023-03-20 10:03:39"
"450584";"0374-0463";"1949-0763";"Acta Linguistica Hafniensia. International Journal of Linguistics";"Acta Linguistica Hafniensia. International Journal of Linguistics";"Denmark";"Linguistics";"Languages and Literature";"2023-02-02 17:14:12"
"437208";"1216-8076";"1588-2624";"Acta Linguistica Hungarica";"Acta Linguistica Hungarica";"Hungary";"Linguistics";"Languages and Literature";"2023-02-02 17:14:12"
"501797";"1648-4444";"2669-218X";"Acta Linguistica Lithuanica";"Acta Linguistica Lithuanica";"";"Linguistics";"Languages and Literature";"2021-07-30 11:15:18"
"493225";"2306-5737";"";"Trudy Instituta lingvisticheskih issledovanij";"Acta linguistica Petropolitana";"Russia";"Linguistics";"Languages and Literature";"2019-06-25 15:23:57"
"500459";"";"1339-5629";"Acta logistica";"Acta logistica";"Slovakia";"Business and Management, Science and Technology Studies, Interdisciplinary research in the Social Sciences";"Economics and Business; Other Social Sciences";"2023-04-17 11:30:01"
"493820";"2585-8599";"2585-9218";"Acta Ludologica";"Acta Ludologica";"Slovakia";"Media Studies and Communication";"Media and Communications";"2021-03-23 11:04:44"
"505250";"2668-9545";"2668-9715";"Acta Marisiensis. Seria Historia";"Acta Marisiensis. Seria Historia";"Romania";"History";"History and Archaeology";"2023-03-28 06:22:05"
"505323";"";"2453-7306";"Acta Mechatronica";"Acta Mechatronica";"Slovakia";"Science and Technology Studies";"Other Social Sciences";"2023-04-17 09:58:33"
"503388";"1022-8012";"2592-818X";"Acta medico-historica Rigensia";"Acta medico-historica Rigensia";"Latvia";"History, Interdisciplinary research in the Humanities";"History and Archaeology; Other Humanities";"2022-03-30 10:17:20"
"484984";"2083-0343";"";"Acta Medicorum Polonorum";"Acta Medicorum Polonorum";"Poland";"History & Philosophy of Science";"Other Humanities";"2015-03-28 14:35:38"
"500354";"1895-4103";"";"Acta Militaria Mediaevalia";"Acta Militaria Mediaevalia";"Poland";"Archaeology, History, Interdisciplinary research in the Humanities";"History and Archaeology; Other Humanities";"2021-06-28 11:01:01"
"488789";"1337-7515";"2453-7160";"Acta Missiologica";"Acta Missiologica";"Slovakia";"Interdisciplinary research in the Social Sciences, Psychology, Religious Studies and Theology, Anthropology, Interdisciplinary research in the Humanities";"Other Humanities; Other Social Sciences; Philosophy, Ethics and Religion; Psychology; Sociology";"2020-03-19 15:36:47"
"494468";"0862-8548";"";"Acta musealia: Muzea jihovýchodní Moravy ve Zlíně a Muzea regionu Valašsko, Vsetín";"Acta musealia";"Czechia";"Archaeology, History";"History and Archaeology";"2018-09-09 14:57:49"
"493327";"1454-1513";"";"Acta Musei Napocensis";"Acta Musei Napocensis";"Romania";"Archaeology, Classical Studies";"History and Archaeology; Languages and Literature";"2018-03-27 18:32:42"
"501844";"1454-1521";"2783-9710";"Acta Musei Napocensis. Historica";"Acta Musei Napocensis. Historica";"Romania";"Art and Art History, History, Cultural Studies, Interdisciplinary research in the Humanities";"Arts (Arts, History of Arts, Performing Arts, Music); History and Archaeology; Languages and Literature; Other Humanities";"2021-06-22 11:18:06"
